	clearness	division	composition	figures	language	questions
Student1	2.45	2.7	2.65	1.9	2.9	3
Student2	2.175	2.5	2.7	2.7	2.25	2.35
Student3	1.95	2.35	2.85	2.7	1.8	2.15
Student4	2.45	2.2	2.5	3	2.5	2.25
Student5	1.8333333333	2.4444444444	2.4444444444	1.9444444444	2.2222222222	2.8888888889
Student6	2.65	2.9	2.6	2.1	2.3	2.8333333333
Student7	2.45	2.6	2.4	2.9	2.55	2.35
Student8	2.45	2.65	2.7	3	2.7	2.7
Student9	2.7	1.675	2.4	2.8	2.35	2.4
Student10	2.45	2.4	2	0.2	2.55	1.85
Student11	2.1	2.5	2.45	2.85	2.5	2.2777777778
